category,count,columns,cmd,pid,time,counter,event,ptr,fun,lib
row_all,16777216,3,simulation,6104,11651528.193143:,8040,cache-misses:,ffffffff8d4bf2ad,__list_del_entry_valid+0x3d,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.197709:,63655,branch-misses:,408463,FillColumns<unsigned,int>+0x273,(/experiments/sorting_simulation/simulation)
row_all,16777216,3,simulation,6104,11651528.203697:,7720,cache-misses:,ffffffff8d239ae3,get_page_from_freelist+0x803,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.207861:,63154,branch-misses:,ffffffff8d16f520,tick_sched_timer+0x0,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.213467:,7855,cache-misses:,ffffffff8d23aa98,get_page_from_freelist+0x17b8,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.217816:,63362,branch-misses:,7f0b17a589e9,random+0x69,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.223707:,7787,cache-misses:,ffffffff8d23aa98,get_page_from_freelist+0x17b8,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.227921:,62895,branch-misses:,7f0b17a58ea1,rand+0x11,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.233819:,7666,cache-misses:,ffffffff8d23bca1,__alloc_pages_nodemask+0x171,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.237880:,63059,branch-misses:,408463,FillColumns<unsigned,int>+0x273,(/experiments/sorting_simulation/simulation)
row_all,16777216,3,simulation,6104,11651528.243513:,7877,cache-misses:,ffffffff8d2ce465,mem_cgroup_try_charge+0x5,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.248040:,62438,branch-misses:,7f0b17a589e9,random+0x69,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.254052:,7521,cache-misses:,ffffffff8d239b06,get_page_from_freelist+0x826,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.258293:,61427,branch-misses:,7f0b17a589e9,random+0x69,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.263484:,7792,cache-misses:,ffffffff8d239ccb,get_page_from_freelist+0x9eb,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.268110:,62204,branch-misses:,408463,FillColumns<unsigned,int>+0x273,(/experiments/sorting_simulation/simulation)
row_all,16777216,3,simulation,6104,11651528.273592:,7718,cache-misses:,ffffffff8d239ccb,get_page_from_freelist+0x9eb,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.277945:,63019,branch-misses:,ffffffff8d277ec0,find_vma+0x20,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.283661:,7703,cache-misses:,ffffffff8d236177,bad_range+0x77,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.287910:,63202,branch-misses:,40845f,FillColumns<unsigned,int>+0x26f,(/experiments/sorting_simulation/simulation)
row_all,16777216,3,simulation,6104,11651528.293609:,7727,cache-misses:,ffffffff8d239ae3,get_page_from_freelist+0x803,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.297908:,63212,branch-misses:,7f0b17a589e2,random+0x62,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.303510:,7773,cache-misses:,ffffffff8d243289,__pagevec_lru_add_fn+0x139,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.307185:,8887,cache-misses:,7f0b17a58e90,rand+0x0,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.307808:,63271,branch-misses:,7f0b17a58ea1,rand+0x11,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.307842:,8887,cache-misses:,7f0b17a58988,random+0x8,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.308504:,38439,cache-misses:,7f0b17a58980,random+0x0,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
